#xor_srcip xor_dstip xor_prot xor_srcport xor_dstport flowcnt pktcnt
3217716404 2766151329 0 39 19752 6 74
196398005 15762315 0 441 32397 2 2
101684647 170612764 23 934 14608 8 12
254530897 270319 23 336 29155 4 4
3669800769 3664789441 17 1456 10714 3 24
2888977622 3948898796 23 2025 26754 4 49
2690963532 28293 23 125 63170 2 2
3603518956 2080987799 6 62 22904 3 3
2894219113 299366543 23 1667 19788 4 30
2769238888 2694125664 23 122 7780 2 2
2729950572 14914646 23 1819 34826 4 7
1989023863 2485968303 17 884 4900 7 169
2873290644 155030648 23 749 29210 4 4
390537580 4131608651 0 73 61525 2 2
2882770848 4154013639 0 979 5184 4 4
3641616138 989157701 17 179 49663 3 3
3147962420 433934622 23 987 63007 4 4
3715957486 2080902721 6 1016 2199 1 1
3507215675 3565486275 6 323 36696 3 46
2098702773 3642855304 17 785 24858 5 5
2783711595 102336172 23 28 61111 4 4
2690926586 20915434 23 343 25897 2 2
122761810 3783616588 0 26 26000 4 4
2051792551 2067042768 6 101 23310 3 143
0 0 0 0 0 0 0
2882791943 229884544 0 265 25080 2 2
3716113524 1805297895 17 338 23900 3 3
2882607114 2849156388 0 1492 20253 2 12
58875698 2962175590 0 15 38604 4 4
3716141829 2076270044 17 60 7573 1 1
216388617 2834581900 0 105 4426 2 2
1983780002 3546662180 17 1303 804 3 3
216426780 1237552506 0 1441 40104 4 133
3644753266 989132031 6 299 38112 3 3
228305380 2961993917 23 1527 51822 2 5
1618138678 2496648249 17 231 52327 3 3
1991071800 1934677009 6 590 12445 1 25
1966454367 2038507342 6 1234 50122 5 5
189219 1537549136 23 1425 12831 4 116
1991186818 3585844021 6 265 35306 5 5
113281 448875 23 176 12171 2 22
196460426 49978 0 182 52689 2 2
3532300011 1025357226 6 1142 9607 7 7
2691016574 1161506232 0 537 28814 4 4
354586712 4131602601 23 115 45508 2 4
3125152324 27690530 0 302 12406 4 86
2928491163 2778495579 0 838 25775 2 2
3716049435 3431259134 6 185 31441 3 3
2791932790 190889 23 812 14423 4 4
113504 1188862691 23 122 1439 2 3
2966320953 3975560993 0 290 61955 4 4
3716041123 3328651563 17 795 45477 3 3
2774772270 130749776 0 176 21821 2 2
187029741 1279941628 0 241 22235 4 5
2753395767 130567694 23 179 21724 2 2
3669975790 2076186097 17 422 45952 5 5
2894161441 123671577 0 2009 20863 4 7
3450842270 3757350837 17 426 12102 5 5
1759452453 1934842093 17 11 38825 3 3
1912382470 1995023279 6 586 17742 1 27
0 0 0 0 0 0 0
2064647456 3545012837 6 66 34943 1 23
2882635968 1181421753 23 409 24146 2 2
135629384 1244465875 0 1457 37915 4 8
1912552674 2063467941 17 74 10911 1 1
53494956 4238565387 0 1209 35915 6 11
1631992636 2001640886 6 62 63602 3 3
1912386079 2076344351 17 92 8023 1 9
2812122119 27582506 0 681 30115 4 4
2111323222 3530335359 6 1553 33645 7 7
2894122270 4010797567 0 0 61831 2 3
2894294192 529269520 23 351 720 4 4
1783419062 897644988 17 967 40978 3 3
3451128718 2113040912 6 468 41418 3 3
3575934480 892893815 6 339 16809 3 3
3732928733 2063475468 17 150 7708 1 113
2792028106 3068143094 0 487 65260 4 12
2098911467 2673189598 6 1118 2857 7 151
2791873184 1272038040 0 0 12831 2 2
382664061 1204271247 23 272 63104 2 2
2873152794 1269318011 0 350 15407 4 4
3192726918 2693797420 23 1227 33164 4 4
2936048941 2841445876 23 63 44411 6 6
3501214423 2640124529 17 1288 27768 3 40
1990996337 1019609207 6 60 23950 1 2
0 0 0 0 0 0 0
3741172210 1934649244 17 165 5941 1 3
3669847035 3670128910 6 189 38498 3 305
2879966952 370928004 0 1912 23292 4 32
0 0 0 0 0 0 0
1781130193 2682689107 6 1566 13995 7 13
2086586007 3441516060 17 174 48700 5 5
3558106644 2032584338 17 55 52864 5 8
3642645329 2041727402 6 1026 6644 3 5
2894298255 121222275 0 1422 11682 2 1137
1995609031 1898016148 6 342 38995 5 5
3342198526 3679552344 6 1264 3654 3 8
2894115641 2849156856 0 82 2934 2 2
3452521762 3698009375 6 1892 63656 5 374
2712391748 3916517534 0 0 25223 4 5
3411172200 3524333747 6 62 11266 1 1
2775555186 32010477 23 260 23521 4 4
3716086465 3397686927 6 62 14692 1 1
3693547930 1887902576 6 96 62873 5 5
3502903691 1018741242 17 303 43837 3 30
2894162653 3863994627 0 6 37483 2 2
224441169 2835582816 23 74 23889 2 2
3660380873 3409113128 6 1512 1440 3 301
73423368 2859142731 23 175 10955 2 3
383843354 136691419 0 1246 62144 6 505
2894156046 1086361581 23 2 11786 2 2
221927614 106004422 0 1522 26226 4 93
2873222476 210563870 23 486 1901 2 2
3142205888 1181430643 23 1453 30570 4 4
3523274720 1019737959 6 60 26862 1 1
388965793 9532282 23 1181 18238 4 40
2047518746 3545113602 6 60 27659 3 5
3669947895 2080908271 6 5 62688 3 7
2002929163 2587603029 6 422 62507 5 5
276787640 3074776236 0 1353 17409 4 4
2098773992 2081157215 17 127 6033 1 1
8243273 3175474277 23 286 40696 2 2
3008928864 257664616 23 1241 10326 2 2
2792079277 2822343202 0 627 35957 4 5
2038145889 2080983245 17 147 22931 3 3
2208370 1094125821 0 977 4438 2 2
130237860 95991086 23 31 4801 2 2
2690970487 143705109 23 191 22727 4 4
3730147024 1967105401 6 557 22856 5 90
2061059597 896067205 17 251 9415 5 5
196576402 3911065155 0 354 22981 4 4
492367865 498727668 0 1145 17257 6 25
1635391977 3685892389 6 304 31667 5 5
36693 521391 23 722 54569 2 2
3716111226 1934622892 17 60 18445 1 1
2098917264 985677816 6 1198 45793 5 5
3469403375 2056118297 17 405 23797 5 33
2691102715 220861735 0 173 51991 2 2
1991051977 2001580155 17 140 24691 1 1
3660532386 3553094884 6 60 10187 3 55
2012253489 2096698970 6 56 19272 3 3
1912341728 2076378508 6 447 21880 1 1
1990993443 3679498401 6 60 3432 1 1
2691088378 1093804126 23 356 21740 2 2
1991102788 1949306019 6 249 17461 3 3
3414296230 2114669967 17 155 46165 5 5
